Z,N,A,EL,T01_mass_excess,T02_BE_per_A,T03_S_2n,T04_S_2p,T05_S_n,T06_S_p,T07_Q_alpha,T08_Q_beta,T09_E_2plus,T10_BE2_up,T11_beta2,T12_tau,T13_E_4plus,T14_R_42,F01_Z,F02_N,F03_A,F04_dZ50,F05_dZ82,F06_dN50,F07_dN82,F08_Zmod2,F09_Nmod2,F10_valence,F11_eveneven
42,66,108,Mo,-70749.297,8422.1581,10763.9305,26578.0,6275.6407,14314.464,-7456.5535,5173.533,,,,,563.6919,2.9238420780999164,42,66,108,8,40,16,16,0,0,24,1
43,65,108,Tc,-75922.831,8462.8172,12289.2141,24298.0944,5244.1816,10666.8267,-6536.7498,7738.5736,,,,,,,43,65,108,7,39,15,17,1,1,22,0
44,64,108,Ru,-83661.404,8527.2267,13480.7877,22111.3431,7870.1566,12200.4082,-5742.5722,1369.7517,242.23,1.071,0.298,447.0,665.107,2.7457210796172293,44,64,108,6,38,14,18,0,0,20,1
45,63,108,Rh,-85031.156,8532.6657,14811.1355,19832.8453,6238.7626,8457.5613,-4957.1026,4493.0596,,,,,,,45,63,108,5,37,13,19,1,1,18,0
46,62,108,Pd,-89524.215,8567.0241,15759.3086,17778.9049,9222.8795,9949.4752,-3853.3677,-1917.4238,433.938,0.865,0.2562,63.7,1048.2166,2.415588479839535,46,62,108,4,36,12,20,0,0,16,1
47,61,108,Ag,-87606.792,8542.0262,16807.0282,15822.0773,7271.41,6523.1087,-3072.3634,1645.6311,,,,,,,47,61,108,3,35,11,21,1,1,14,0
48,60,108,Cd,-89252.423,8550.0196,18262.9059,13922.8219,10333.4152,8134.6941,-2282.2156,-5132.5944,632.988,0.426,0.1723,7.77,1508.46623,2.383087629681535,48,60,108,2,34,10,22,0,0,12,1
49,59,108,In,-84119.828,8495.2516,19654.3147,11755.371,8624.4794,4418.4738,-1428.2741,-2049.8794,,,,,,,49,59,108,1,33,9,23,1,1,10,0
50,58,108,Sn,-82069.949,8469.0273,20858.8874,9515.7381,11629.0281,5792.253,-526.4734,-9624.6079,1206.07,0.231,0.1217,0.676,2111.1114,1.7504039148607338,50,58,108,0,32,8,24,0,0,8,1
51,57,108,Sb,-72445.341,8372.6666,22114.6758,6415.1333,9863.4105,1222.0732,1312.4179,-6663.6646,,,,,,,51,57,108,1,31,7,25,1,1,8,0
